Symbol,n1,n2,dir_thresh_symmetric,conf_thresh,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,180,100,0.8,-1.5,30.49,62.54,9.3,10.19,0.5194,0.6512,-35.54,11
SPY,60,240,0.8,-1.5,27.47,78.84,8.45,9.18,0.5162,0.6405,-22.21,23
SPY,160,60,0.9,-1.5,32.27,98.25,9.8,10.78,0.5134,0.6019,-25.09,17
SPY,140,40,0.8,-1.5,32.87,96.12,9.96,10.98,0.5112,0.6032,-32.58,29
SPY,300,60,0.9,-1.5,25.36,107.25,7.84,8.47,0.5008,0.6143,-20.13,14
SPY,40,240,0.85,-1.5,26.27,75.7,8.1,8.78,0.4995,0.6256,-23.19,30
SPY,40,160,0.85,-1.5,30.85,54.9,9.4,10.31,0.4969,0.6801,-34.59,35
SPY,40,80,0.8,-1.5,31.5,119.1,9.58,10.52,0.4922,0.6561,-38.75,49
SPY,40,60,0.85,-1.5,31.5,133.41,9.58,10.52,0.492,0.6468,-41.8,53
SPY,280,20,0.8,-1.5,24.9,94.82,7.71,8.32,0.4894,0.6134,-14.51,22
SPY,280,180,0.8,-1.5,23.53,77.6,7.31,7.86,0.4873,0.5633,-25.62,6
SPY,220,100,0.9,-1.5,23.38,73.04,7.27,7.81,0.4818,0.5486,-27.69,5
SPY,260,160,0.85,-1.5,23.12,84.16,7.2,7.73,0.4809,0.576,-19.11,8
SPY,260,180,0.85,-1.5,23.06,76.36,7.18,7.7,0.4808,0.5558,-25.9,6
SPY,180,20,0.8,-1.5,25.42,81.39,7.86,8.49,0.4803,0.5983,-23.96,30
SPY,260,80,0.85,-1.5,23.3,77.52,7.25,7.78,0.4798,0.5543,-30.87,9
SPY,80,240,0.85,-1.5,24.82,116.35,7.69,8.29,0.4792,0.5942,-24.41,23
SPY,60,240,0.85,-1.5,24.74,71.81,7.66,8.27,0.478,0.5928,-22.77,21
SPY,300,20,0.9,-1.5,23.99,95.22,7.45,8.02,0.4768,0.574,-14.92,18
SPY,200,80,0.85,-1.5,23.72,75.36,7.37,7.92,0.4753,0.5962,-26.92,17
SPY,280,180,0.9,-1.5,21.88,75.12,6.83,7.31,0.4719,0.5279,-23.76,6
SPY,200,240,0.8,-1.5,24.18,109.37,7.5,8.08,0.4701,0.5922,-25.45,17
SPY,160,280,0.8,-1.5,22.21,79.7,6.93,7.42,0.4694,0.5457,-25.83,16
SPY,200,120,0.8,-1.5,22.43,77.96,6.99,7.49,0.4679,0.5559,-17.87,15
SPY,60,80,0.9,-1.5,29.06,130.09,8.9,9.71,0.4667,0.5656,-33.78,27
SPY,240,160,0.8,-1.5,22.18,81.96,6.92,7.41,0.4658,0.5586,-19.22,8
SPY,160,280,0.9,-1.5,21.56,77.17,6.74,7.2,0.4596,0.5383,-24.09,11
SPY,180,80,0.85,-1.5,25.56,61.36,7.9,8.54,0.4584,0.5882,-31.74,17
SPY,300,260,0.85,-1.5,21.37,74.69,6.68,7.14,0.4554,0.5211,-22.37,8
SPY,80,240,0.8,-1.5,22.97,108.73,7.15,7.67,0.4528,0.5612,-24.41,25
SPY,80,20,0.9,-1.5,27.47,94.09,8.45,9.18,0.4497,0.5395,-32.19,30
SPY,220,120,0.9,-1.5,21.15,69.72,6.62,7.06,0.4478,0.5227,-20.58,7
SPY,280,200,0.8,-1.5,20.95,70.63,6.56,7.0,0.4476,0.5243,-25.39,8
SPY,280,160,0.8,-1.5,20.84,78.05,6.53,6.96,0.4449,0.5335,-18.8,8
SPY,160,280,0.85,-1.5,20.37,73.34,6.39,6.81,0.4399,0.5106,-25.79,14
SPY,140,40,0.9,-1.5,26.22,79.53,8.09,8.76,0.4389,0.513,-32.1,25
SPY,260,160,0.8,-1.5,20.42,77.25,6.41,6.82,0.4379,0.5246,-19.07,8
SPY,80,20,0.85,-1.5,26.35,89.66,8.13,8.8,0.4373,0.5266,-32.19,36
SPY,180,240,0.8,-1.5,21.83,103.56,6.82,7.29,0.4364,0.5538,-25.45,19
SPY,240,180,0.8,-1.5,19.8,72.07,6.22,6.62,0.4283,0.5119,-21.0,8
SPY,280,260,0.9,-1.5,19.57,68.65,6.15,6.54,0.4273,0.4911,-23.69,7
SPY,260,220,0.9,-1.5,17.87,71.66,5.65,5.97,0.4235,0.4778,-16.36,8
SPY,260,180,0.9,-1.5,18.93,63.91,5.96,6.32,0.4232,0.462,-25.6,4
SPY,260,20,0.8,-1.5,20.51,89.03,6.43,6.85,0.4213,0.5302,-16.09,24
SPY,200,100,0.85,-1.5,19.88,57.13,6.24,6.64,0.419,0.5026,-28.92,11
SPY,200,20,0.8,-1.5,20.78,68.19,6.51,6.94,0.4176,0.5326,-27.68,32
SPY,40,40,0.9,-1.5,24.59,94.14,7.62,8.21,0.4166,0.5503,-37.2,48
SPY,220,140,0.8,-1.5,19.09,77.19,6.01,6.38,0.4154,0.4921,-24.48,10
SPY,200,120,0.85,-1.5,19.06,71.15,6.0,6.37,0.4147,0.487,-21.76,13
SPY,160,60,0.85,-1.5,23.08,72.97,7.18,7.71,0.4087,0.4796,-26.8,19
SPY,240,60,0.9,-1.5,18.12,67.1,5.72,6.05,0.4054,0.4536,-23.5,9
SPY,60,200,0.9,-1.5,20.45,87.77,6.41,6.83,0.4033,0.531,-22.88,27
SPY,40,220,0.85,-1.5,19.84,44.57,6.23,6.63,0.4008,0.5033,-33.3,30
SPY,200,80,0.8,-1.5,18.73,58.88,5.9,6.26,0.3997,0.5019,-30.87,17
SPY,240,40,0.8,-1.5,18.95,77.04,5.97,6.33,0.3987,0.4935,-23.63,24
SPY,240,240,0.85,-1.5,19.24,92.84,6.06,6.43,0.3985,0.4937,-25.45,9
SPY,240,180,0.9,-1.5,17.38,59.35,5.5,5.81,0.3971,0.4339,-26.57,4
SPY,40,40,0.85,-1.5,22.82,80.92,7.11,7.63,0.3968,0.5235,-32.75,58
SPY,240,80,0.9,-1.5,17.96,55.22,5.67,6.0,0.3961,0.462,-26.95,9
SPY,180,240,0.85,-1.5,18.97,100.0,5.98,6.34,0.3945,0.4955,-25.45,17
SPY,300,220,0.9,-1.5,17.45,55.88,5.52,5.83,0.3921,0.4536,-19.25,5
SPY,240,160,0.9,-1.5,17.05,69.36,5.4,5.7,0.3911,0.4559,-19.22,8
SPY,300,260,0.8,-1.5,17.4,62.61,5.5,5.81,0.3908,0.4474,-23.69,8
SPY,100,260,0.85,-1.5,17.23,68.28,5.46,5.76,0.388,0.4553,-24.09,18
SPY,260,160,0.9,-1.5,16.86,68.74,5.34,5.63,0.3877,0.4512,-19.11,8
SPY,240,160,0.85,-1.5,16.7,68.36,5.29,5.58,0.385,0.4489,-19.22,8
SPY,120,240,0.9,-1.5,18.12,87.95,5.72,6.05,0.3818,0.4745,-20.81,17
SPY,140,280,0.85,-1.5,16.72,62.63,5.3,5.59,0.38,0.4441,-25.83,14
SPY,220,160,0.8,-1.5,16.69,65.2,5.29,5.58,0.3776,0.4529,-21.86,8
SPY,100,260,0.9,-1.5,16.59,65.24,5.26,5.54,0.3774,0.4428,-23.91,16
SPY,20,20,0.85,-1.5,21.04,97.38,6.59,7.03,0.3764,0.4903,-32.7,86
SPY,300,160,0.85,-1.5,16.48,54.3,5.23,5.51,0.3741,0.4376,-21.5,5
SPY,260,20,0.85,-1.5,17.28,77.21,5.47,5.77,0.3725,0.4684,-16.09,20
SPY,220,240,0.85,-1.5,17.31,94.16,5.48,5.78,0.3695,0.4711,-25.45,9
SPY,200,140,0.9,-1.5,15.79,70.53,5.02,5.28,0.3688,0.428,-23.73,10
SPY,200,100,0.8,-1.5,16.63,45.88,5.27,5.56,0.3683,0.4423,-30.59,11
SPY,160,40,0.8,-1.5,19.32,42.27,6.08,6.45,0.3682,0.4468,-36.05,29
SPY,300,120,0.85,-1.5,16.13,60.02,5.12,5.39,0.367,0.4278,-25.73,9
SPY,100,100,0.9,-1.5,19.92,60.14,6.26,6.66,0.3645,0.453,-29.63,17
SPY,300,20,0.85,-1.5,16.56,71.61,5.25,5.53,0.3643,0.4411,-18.48,18
SPY,280,160,0.85,-1.5,15.84,52.08,5.04,5.29,0.3635,0.4253,-21.93,5
SPY,300,120,0.8,-1.5,15.82,59.21,5.03,5.28,0.3618,0.4233,-26.31,11
SPY,240,180,0.85,-1.5,15.31,60.81,4.87,5.12,0.3616,0.4191,-21.0,8
SPY,40,240,0.9,-1.5,16.77,52.21,5.32,5.6,0.3616,0.445,-26.99,25
SPY,300,160,0.9,-1.5,15.33,54.78,4.88,5.12,0.3616,0.4109,-19.43,5
SPY,200,240,0.85,-1.5,16.74,89.77,5.31,5.59,0.361,0.4503,-25.45,15
SPY,120,260,0.85,-1.5,15.58,52.4,4.96,5.21,0.3606,0.4144,-24.74,16
SPY,300,220,0.85,-1.5,15.58,49.28,4.96,5.21,0.3604,0.4175,-20.59,5
SPY,40,60,0.8,-1.5,19.54,105.06,6.15,6.53,0.3595,0.4661,-41.8,53
SPY,220,160,0.9,-1.5,15.08,63.35,4.81,5.04,0.3573,0.4147,-21.09,8
SPY,280,200,0.85,-1.5,15.23,52.33,4.85,5.09,0.3547,0.4001,-22.88,6
SPY,180,20,0.85,-1.5,16.56,54.91,5.25,5.53,0.354,0.4424,-25.85,26
SPY,120,40,0.8,-1.5,18.76,64.07,5.91,6.27,0.352,0.4176,-29.65,33
SPY,240,240,0.8,-1.5,15.96,81.77,5.07,5.33,0.3493,0.4336,-25.45,9
SPY,260,120,0.85,-1.5,14.81,54.64,4.72,4.95,0.3451,0.4019,-26.51,9
SPY,20,300,0.8,-1.5,14.55,59.88,4.64,4.86,0.3439,0.397,-26.23,66
SPY,300,140,0.85,-1.5,14.53,49.34,4.64,4.85,0.3416,0.394,-21.36,5
SPY,260,120,0.8,-1.5,14.55,53.8,4.64,4.86,0.3407,0.397,-26.68,9
SPY,280,120,0.85,-1.5,14.55,53.8,4.64,4.86,0.3407,0.397,-26.68,9
SPY,240,120,0.9,-1.5,14.49,47.47,4.63,4.84,0.3399,0.3933,-23.55,7
SPY,160,40,0.9,-1.5,16.9,32.89,5.36,5.65,0.3375,0.4157,-37.27,19
SPY,80,200,0.8,-1.5,15.74,108.54,5.0,5.26,0.3369,0.4291,-30.41,29
SPY,300,40,0.8,-1.5,14.76,53.62,4.71,4.93,0.3363,0.4044,-29.13,22
SPY,300,100,0.9,-1.5,14.07,56.68,4.49,4.7,0.3322,0.38,-22.13,11
SPY,40,160,0.8,-1.5,16.81,25.5,5.33,5.62,0.332,0.4459,-36.28,37
SPY,180,40,0.8,-1.5,15.77,32.24,5.01,5.27,0.3297,0.4221,-37.0,27
SPY,120,40,0.85,-1.5,16.89,57.56,5.35,5.64,0.3296,0.3915,-29.71,31
SPY,140,280,0.8,-1.5,13.54,51.21,4.33,4.52,0.3264,0.3815,-25.83,16
SPY,280,120,0.8,-1.5,13.69,51.17,4.38,4.58,0.3264,0.3804,-26.68,9
SPY,200,80,0.9,-1.5,14.07,35.26,4.5,4.7,0.3262,0.3963,-27.44,13
SPY,240,140,0.8,-1.5,13.48,53.34,4.32,4.5,0.3238,0.3651,-21.68,8
SPY,60,80,0.8,-1.5,16.43,98.68,5.21,5.49,0.3236,0.3822,-33.23,37
SPY,220,80,0.85,-1.5,13.55,40.75,4.34,4.53,0.3235,0.3755,-25.52,11
SPY,300,120,0.9,-1.5,13.5,48.82,4.32,4.51,0.3231,0.3807,-24.12,9
SPY,220,100,0.8,-1.5,13.78,51.62,4.41,4.6,0.3226,0.3848,-25.43,13
SPY,60,80,0.85,-1.5,16.34,99.85,5.19,5.46,0.3225,0.3807,-33.23,35
SPY,160,100,0.8,-1.5,15.93,36.8,5.06,5.32,0.3217,0.3771,-34.99,15
SPY,140,100,0.9,-1.5,15.95,46.25,5.07,5.33,0.3197,0.3659,-29.54,10
SPY,240,80,0.85,-1.5,13.28,39.86,4.25,4.44,0.3186,0.3718,-29.5,9
SPY,160,80,0.9,-1.5,15.6,48.24,4.96,5.21,0.3176,0.3777,-35.66,15
SPY,220,20,0.8,-1.5,13.93,50.71,4.45,4.65,0.316,0.4006,-25.42,28
SPY,220,160,0.85,-1.5,12.27,54.8,3.94,4.1,0.3081,0.359,-21.31,8
SPY,260,140,0.85,-1.5,12.47,42.1,4.01,4.17,0.3068,0.3539,-22.77,5
SPY,280,140,0.85,-1.5,12.47,42.1,4.01,4.17,0.3068,0.3539,-22.77,5
SPY,200,20,0.9,-1.5,13.15,48.93,4.21,4.39,0.304,0.3869,-31.19,22
SPY,280,160,0.9,-1.5,11.76,42.0,3.78,3.93,0.299,0.3394,-21.93,5
SPY,140,260,0.8,-1.5,11.96,44.51,3.85,3.99,0.2989,0.3494,-25.83,18
SPY,60,40,0.9,-1.5,14.36,69.38,4.58,4.8,0.2982,0.3605,-28.11,44
SPY,160,240,0.8,-1.5,12.61,68.72,4.05,4.21,0.2974,0.3739,-19.95,21
SPY,280,20,0.9,-1.5,12.31,54.15,3.95,4.11,0.2965,0.3615,-19.25,18
SPY,160,100,0.9,-1.5,13.78,27.81,4.41,4.6,0.2946,0.3438,-35.76,8
SPY,240,20,0.9,-1.5,12.1,59.51,3.89,4.04,0.2915,0.3685,-19.67,20
SPY,160,40,0.85,-1.5,13.33,32.22,4.27,4.45,0.291,0.3539,-36.05,23
SPY,240,60,0.8,-1.5,11.45,51.13,3.69,3.83,0.2877,0.3304,-30.63,17
SPY,220,60,0.85,-1.5,11.2,46.19,3.61,3.74,0.287,0.3189,-27.99,11
SPY,240,80,0.8,-1.5,11.36,35.91,3.66,3.8,0.2861,0.337,-27.96,15
SPY,280,80,0.8,-1.5,11.53,46.74,3.71,3.85,0.2853,0.3374,-31.75,14
SPY,180,160,0.9,-1.5,12.29,84.74,3.95,4.11,0.2815,0.3508,-33.16,14
SPY,180,20,0.9,-1.5,11.42,49.21,3.68,3.81,0.2772,0.3481,-25.06,22
SPY,20,140,0.9,-1.5,12.43,-18.92,3.99,4.15,0.276,0.4027,-51.57,53
SPY,280,100,0.9,-1.5,10.61,45.67,3.43,3.55,0.2736,0.3123,-27.11,11
SPY,100,100,0.85,-1.5,12.07,47.88,3.88,4.03,0.2704,0.3258,-26.4,19
SPY,80,40,0.8,-1.5,11.9,51.68,3.83,3.98,0.2683,0.3146,-29.19,40
SPY,220,80,0.8,-1.5,10.32,35.01,3.33,3.45,0.2683,0.3157,-27.93,13
SPY,220,80,0.9,-1.5,10.13,28.03,3.28,3.38,0.2652,0.3071,-28.53,9
