n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
160,0.7,-2.5,lesser,-6.78,-34.39,-2.32,-2.27,-0.1437,-0.0996,-26.72,18
100,0.8,-2.5,lesser,-10.75,-50.27,-3.73,-3.59,-0.1441,-0.0787,-24.23,20
180,0.85,-2.5,lesser,-6.83,-22.79,-2.34,-2.28,-0.1447,-0.0967,-17.93,10
180,0.8,-2.5,lesser,-6.83,-22.79,-2.34,-2.28,-0.1447,-0.0967,-17.93,10
220,0.9,-3.0,lesser,-4.23,-16.57,-1.43,-1.41,-0.1485,-0.0541,-14.97,2
80,0.8,-1.5,lesser,-11.39,-16.56,-3.96,-3.81,-0.152,-0.1083,-25.51,75
220,0.8,-2.0,lesser,-7.69,-28.85,-2.64,-2.57,-0.1538,-0.126,-20.97,14
200,0.85,-3.0,lesser,-7.1,-27.4,-2.43,-2.37,-0.1589,-0.102,-20.44,8
280,0.85,-2.0,lesser,-8.58,-31.88,-2.95,-2.87,-0.159,-0.132,-20.43,14
220,0.9,-2.0,lesser,-7.79,-35.13,-2.67,-2.6,-0.1614,-0.1176,-22.07,11
40,0.8,-1.0,lesser,-12.46,-48.3,-4.35,-4.16,-0.1621,-0.1315,-30.24,180
80,0.85,-1.5,lesser,-11.65,-12.13,-4.05,-3.89,-0.1629,-0.1106,-25.51,65
120,0.8,-2.5,lesser,-10.96,-45.79,-3.8,-3.66,-0.1631,-0.0788,-23.11,13
300,0.85,-2.5,lesser,-8.47,-30.49,-2.91,-2.83,-0.1644,-0.1227,-23.71,9
200,0.8,-3.0,lesser,-7.34,-28.18,-2.52,-2.45,-0.1665,-0.107,-20.44,8
200,0.7,-3.0,lesser,-7.59,-28.96,-2.6,-2.54,-0.1741,-0.112,-20.44,8
100,0.8,-3.0,lesser,-4.75,-22.7,-1.61,-1.59,-0.175,-0.0591,-15.84,8
60,0.8,-1.0,lesser,-14.06,-42.86,-4.94,-4.7,-0.183,-0.136,-26.36,119
180,0.9,-3.0,lesser,-7.76,-32.88,-2.66,-2.59,-0.184,-0.1098,-16.14,6
300,0.8,-2.5,lesser,-9.31,-33.62,-3.21,-3.11,-0.1874,-0.1404,-23.71,9
100,0.7,-3.0,lesser,-5.41,-25.29,-1.84,-1.81,-0.2049,-0.0697,-16.43,8
20,0.85,-1.5,lesser,-12.33,-46.82,-4.3,-4.12,-0.2109,-0.171,-29.3,248
260,0.9,-2.0,lesser,-10.07,-43.44,-3.48,-3.36,-0.2175,-0.1576,-24.14,11
120,0.85,-2.5,lesser,-13.48,-56.16,-4.72,-4.51,-0.2263,-0.1045,-23.11,11
160,0.7,-3.0,lesser,-8.7,-33.98,-3.0,-2.91,-0.2273,-0.1383,-20.81,10
120,0.7,-1.5,lesser,-16.58,-7.25,-5.88,-5.54,-0.2277,-0.1645,-38.87,59
40,0.85,-3.0,lesser,-1.32,-5.11,-0.44,-0.44,-0.2311,-0.0413,-4.21,14
260,0.7,-2.5,lesser,-11.59,-40.97,-4.03,-3.87,-0.247,-0.1803,-23.19,12
280,0.8,-2.0,lesser,-11.8,-44.79,-4.11,-3.94,-0.2471,-0.2056,-20.43,14
120,0.85,-3.0,lesser,-1.8,-5.47,-0.61,-0.6,-0.2529,-0.0219,-3.75,2
120,0.8,-3.0,lesser,-1.8,-5.47,-0.61,-0.6,-0.2529,-0.0219,-3.75,2
20,0.7,-3.0,lesser,-2.12,-8.07,-0.71,-0.71,-0.253,-0.063,-5.81,18
280,0.9,-1.0,lesser,-13.26,-49.5,-4.64,-4.43,-0.2694,-0.2178,-21.04,20
80,0.8,-1.0,lesser,-16.96,-26.69,-6.02,-5.67,-0.27,-0.2008,-27.12,95
260,0.9,-2.5,lesser,-11.49,-41.7,-4.0,-3.84,-0.2748,-0.1881,-21.65,8
300,0.7,-1.0,lesser,-13.49,-40.22,-4.72,-4.51,-0.2802,-0.2376,-19.9,21
260,0.7,-1.0,lesser,-14.1,-49.35,-4.95,-4.71,-0.2822,-0.2442,-20.47,29
300,0.85,-2.0,lesser,-12.68,-48.9,-4.43,-4.24,-0.2844,-0.2151,-23.86,11
120,0.85,-1.5,lesser,-18.92,-34.83,-6.77,-6.32,-0.2863,-0.2023,-35.67,44
300,0.9,-1.0,lesser,-13.52,-41.12,-4.74,-4.52,-0.2908,-0.2342,-21.46,18
300,0.7,-2.5,lesser,-13.19,-48.41,-4.62,-4.41,-0.2964,-0.2221,-23.71,9
240,0.9,-1.5,lesser,-13.49,-41.43,-4.72,-4.51,-0.3058,-0.2373,-17.61,16
240,0.9,-2.0,lesser,-12.24,-48.3,-4.27,-4.09,-0.3103,-0.2063,-21.08,7
300,0.9,-2.0,lesser,-13.89,-57.87,-4.87,-4.64,-0.3215,-0.2425,-25.06,10
100,0.8,-1.0,lesser,-21.36,-29.87,-7.72,-7.14,-0.3271,-0.2397,-40.26,73
280,0.7,-1.5,lesser,-14.82,-55.08,-5.22,-4.95,-0.3286,-0.2717,-21.38,20
160,0.9,-1.0,lesser,-20.95,-60.19,-7.55,-7.0,-0.3315,-0.2478,-27.18,38
300,0.7,-1.5,lesser,-14.7,-54.24,-5.17,-4.91,-0.3317,-0.2737,-18.11,17
160,0.7,-1.0,lesser,-21.31,-57.04,-7.7,-7.12,-0.3334,-0.2624,-30.73,52
20,0.9,-1.0,lesser,-17.62,-62.87,-6.27,-5.89,-0.3376,-0.2715,-31.87,272
300,0.9,-1.5,lesser,-14.84,-55.5,-5.23,-4.96,-0.3472,-0.2688,-22.0,14
160,0.9,-2.0,lesser,-18.69,-70.81,-6.68,-6.25,-0.3593,-0.2643,-26.8,24
40,0.7,-1.5,lesser,-21.26,-95.75,-7.67,-7.1,-0.3634,-0.2784,-39.53,170
200,0.85,-1.5,lesser,-16.55,-43.86,-5.87,-5.53,-0.3645,-0.3076,-21.28,28
80,0.9,-1.5,lesser,-19.97,-44.18,-7.17,-6.67,-0.366,-0.2392,-25.51,57
300,0.8,-2.0,lesser,-15.83,-61.6,-5.6,-5.29,-0.3751,-0.2846,-23.86,11
220,0.7,-2.0,lesser,-15.8,-58.85,-5.58,-5.28,-0.3763,-0.3216,-23.95,21
280,0.7,-1.0,lesser,-17.52,-64.04,-6.23,-5.85,-0.3831,-0.323,-25.15,23
