,open,high,low,close,volume,turnover,bias_q20,liquidity_premium_z_300,position,close_diff,change_rate,executable_position,position_change,gross_strategy_returns,percentage_fees,strategy_returns,cum_returns,gross_point_pnl,point_fees,point_pnl,cum_point_pnl
2020-01-23 09:00:00,301.373360351,301.537432592,300.261315166,300.981409999,6948454.0,2292316203.452,,,0.0,-1.039124189000006,-0.0034405746344160493,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-23 10:00:00,300.976852437,301.555662841,300.872028505,300.990525123,6074997.0,2007557938.228,,,0.0,0.009115124000004471,3.028467439247784e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-23 11:00:00,300.990525123,301.154597364,300.443617655,300.835568007,4215794.0,1391039476.064,,,0.0,-0.1549571159999914,-0.000514823899977146,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-23 12:00:00,300.835568007,301.414378411,300.808222634,301.054422146,2919362.0,964608048.949,,,0.0,0.21885413899997275,0.0007274875788454427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-23 13:00:00,301.054330995,301.90203757,300.990525123,301.799948176,4603862.0,1522740624.836,,,0.0,0.7455260300000077,0.0024763829233456214,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-23 14:00:00,301.792656077,302.303103047,301.788098514,302.2484123,6373951.0,2112411859.083,,,0.0,0.44846412399999735,0.0014859648807443726,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-23 15:00:00,302.2484123,302.549211408,302.111685433,302.366908918,11309716.0,3751225721.544,,,0.0,0.11849661799999467,0.00039205042335299645,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-24 09:00:00,303.02319788,303.105234,302.394254292,302.735524552,3893614.0,1293274718.4229999,,,0.0,0.3686156340000366,0.0012191004475956557,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-24 10:00:00,302.740629022,302.840895391,301.555662841,301.879249759,8649116.0,2866151559.743,,,0.0,-0.8562747930000114,-0.002828458253345545,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-24 11:00:00,301.883807321,302.20739424,300.753531887,300.826452883,8938288.0,2956182247.897,,,0.0,-1.0527968760000022,-0.0034874767869619294,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-24 12:00:00,300.826452883,300.835568007,299.605026204,300.516538651,12150415.0,4003666635.436,,,0.0,-0.3099142319999828,-0.0010302093749731123,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
